date,quote,speaker,note,source,url
2021-04-26,งบส่วนไหนที่ปรับเพื่อนำไปช่วยเหลือประชาชนได้ ก็จะพิจารณาปรับลด <b>แต่อย่างไรก็ต้องเดินหน้า เรื่องของการดำรงความมั่นคงของประเทศ</b> เพราะเป็นสิ่งจำเป็น และได้เห็นชอบจากสายการบังคับบัญชาและรัฐบาลแล้ว,narongpan,ชี้แจงถึงการที่กองทัพบกมีแผนจะซื้ออาวุธในช่วงการระบาดของโควิด-19,กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/news/detail/934609
2021-04-25,ผมบอกตัวผมเองว่าผมกำลังทำงาน ใครชมผมผมก็ฟัง ใครว่าผมผมก็ฟัง แต่ผมก็ต้องชมตัวผมเอง ผมว่าผมก็ยังทำงานได้อยู่ผมก็ทำต่อไป <b>ตอนเข้าผมก็ขอเขามาที่นี่ ถ้าจะไปผมก็ขอไปด้วยตัวเอง ไม่ต้องห่วงหรอกครับ ถ้ามันไม่ไหวผมไม่อยู่หรอก</b>,anuthin,กรณีที่กลุ่ม "หมอไม่ทน" ตั้งแคมเปญผ่านเว็บไซต์ change.org ล่ารายชื่อให้ลาออก,Sanook,https://www.sanook.com/news/8371562/
2021-04-26,ก็ขอให้ช่วยนำเงินฝากออกมาใช้จ่ายมากขึ้น จากการประเมินประเทศไทยจะมี GDP 2.7% <b>แต่หากได้คนไทย คนรักประเทศ รักชาติ มาช่วยกันใช้จ่าย เห็นอกเห็นใจผู้อื่น หรือคนที่ด้อยโอกาสกว่า ทุกอย่างก็จะกลับมาได้</b>,supatphong,,The Reporters,https://www.facebook.com/TheReportersTH/posts/2969442749972772
2021-02-09,<b>วัคซีนโควิด 19 จะมาช้าหรือเร็ว แทบไม่ได้มีผลกับคนไทย เพราะเรามีหน้ากากอนามัย-หน้ากากผ้า</b> ในการป้องกันอนามัยส่วนตัว ไม่ต้องเจ็บจากการฉีดวัคซีน ใช้เงินน้อย ขอให้สวมหน้ากากอนามัยตลอดเวลาที่อยู่ในพื้นที่ชุมชน,taweesin,,Kapook,https://covid-19.kapook.com/view237488.html
2021-04-23,ตัวเลขผู้ติดเชื้อที่เพิ่มขึ้นมาจะอยู่ตามหัวเมืองใหญ่ <b>ซึ่งเป็นสิ่งที่ยืนยันได้ว่ารัฐบาลไม่ได้ปิดบังข้อมูลตัวเลขผู้ติดเชื้อ</b>,anuthin,,Voice TV,https://www.facebook.com/VoiceOnlineTH/posts/10161696369499848
2021-04-27,<b>สุดท้ายคนที่จะมาเรตติ้งตัวผม การทำงานของผม หรือชีวิตของผม คือตัวผมเอง</b> ผมอายุขนาดนี้เเล้ว ไม่มีใครเป็นเจ้าชีวิตผมได้หรอกครับ ผมกำหนดตัวผมเอง,anuthin,,Voice TV,https://facebook.com/VoiceOnlineTH/posts/10161709568604848
2021-04-20,ที่เราได้รับวัคซีนมาในช่วงแรกนั้น จัดซื้อมาในฐานะที่เราควบคุมการระบาดได้ดีมาก <b>เราก็จัดหาวัคซีนมาตามความจำเป็น</b> ไม่ใช่เพราะเราจองช้า หรือน้อยเกินไป,prayut,,ข่าวสด,https://twitter.com/KhaosodOnline/status/1384407640168570882
2021-02-11,<b>จริงๆ แล้วเราแทงม้าเต็ง เพราะเราเห็นว่าม้าจากแอสตร้าเซนเนก้าวิ่งนำมาแล้ว</b> กล้าสนับสนุนประเทศไทยก่อน ส่วนม้าตัวอื่นบอกว่า จะให้วัคซีนเราเร็วที่สุดในกันยายนยังบอกเงื่อนไขไม่ได้ บอกจำนวนไม่ได้,anuthin,,มติชน,https://www.matichon.co.th/politics/news_2573038
2020-04-17,วันนี้เราทำได้ดีแล้ว <b>ขอท่านจงไม่ประมาท การ์ดอย่าตก</b> ก็จะทำให้เรารอดพ้น ไม่ป่วย ไม่เจ็บ ไม่ไข้ ไม่ตายกัน และอยู่อย่างมีความสุขได้ในช่วงวิกฤตอย่างนี้,taweesin,,มติชน,https://www.matichon.co.th/politics/news_2144147
2021-04-22,วันนี้จะพบกับไฟเซอร์โดยก่อนหน้านี้ได้คุยกันมาโดยตลอดแต่เวลานั้นไฟเซอร์ระบุว่า จะส่งได้เร็วที่สุดปลายปี วันนี้จะมีการพูดคุยกัน <b>จะให้กราบเพื่อให้มีการส่งวัคซีนให้เร็วที่สุดก็จะทำ</b>,anuthin,,ข่าวสด,https://www.khaosod.co.th/politics/news_6354760
2021-05-07,ประชุมแผนการจัดหาวัคซีนไฟเซอร์ มาให้ประชาชน <b>คาดว่าจะได้รับวัคซีน จำนวน 10-20ล้านโดส เริ่มส่งได้ตั้งแต่ ไตรมาสที่ 3-4  ปีนี้</b>,anuthin,,PPTV,https://www.pptvhd36.com/news/%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%A0%E0%B8%B2%E0%B8%9E/146976
2020-12-28,สถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-19 ในประเทศ<b>ยังไม่วิกฤตถึงขั้นต้องใช้วัคซีนโดยด่วน</b>,anuthin,,Sanook,https://www.sanook.com/news/8325646/
2021-01-19,ปกติวัคซีนชนิดหนึ่งจะใช้เวลามากกว่าหนึ่งปี ดังนั้นต้องมั่นใจจริงๆ ถึงค่อยใช้ เพราะบุคลากรทางการแพทย์จะเป็นกลุ่มแรกที่จะได้ใช้ จะเสียเขาไปไม่ได้ <b>เราเชื่อมั่นในวิธีที่ ศบค.ช่วยกันคิด และตัดสินใจ ไม่ได้เกิดจากคนใดคนหนึ่ง เราเดินอย่างช้า ๆ แต่ได้พร้าเล่มงาม</b>,taweesin,,The Bangkok Insight,https://www.thebangkokinsight.com/news/politics-general/covid-19/532003/
